# Title: Bacterial cheating drives the population dynamics of cooperative antibiotic resistance plasmids
# Data source: Yurtsev EA, Chao HX, Datta MS, Artemova T, Gore J (2013) Bacterial cheating drives the population dynamics of cooperative antibiotic resistance plasmids. Molecular Systems Biology 9:683. https://doi.org/10.1038/msb.2013.39
# Data authors: Eugene A Yurtsev, Hui Xiao Chao, Manoshi S Datta, Tatiana Artemova, Jeff Gore
# File author: jeff smith
# Last modified: 2025-01
# Description: These experiments grew many bacterial populations over a single cycle in a variety of environments (different ampicillin concentrations) from a variety of initial starting conditions (changing both the total initial cell density and the relative abundance of resistant and sensitive bacteria). 
# 
# ampicillin: Antibiotic concentration in micrograms per ml
# dilution: The amount by which the culture was diluted, ODi (at t+1) should be ODf (at t) divided by the dilution factor
# culture_id: provided for convenience, but **not unique**, use ampicillin concentrations and replicate to identify cultures uniquely   
# replicate: Integer to indicate from which experiment the data came from
# OD_initial: Initial population density (measured in units of optical density), population density at beginning of growth cycle measurement corrected for non-linear effects and background
# OD_final: Final population density (measured in units of optical density), population density at end of growth cycle measurement corrected for non-linear effects and background
# fraction_resistant_initial: Initial fraction of resistant cells (measured using flow cytometry), fraction of resistant cells at the beginning of the growth cycle
# fraction_resistant_final: Final fraction of resistant cells (measured using flow cytometry), fraction of resistant cells at end of growth cycle
ampicillin,dilution,replicate,culture_id,OD_initial,OD_final,fraction_resistant_initial,fraction_resistant_final
15,100,0,0,0.0143875503769,0.0271913329879,-3.78452263225e-4,NA
15,100,0,1,0.0142401998475,1.16724900831,0.0473674563043,0.729006026357
15,100,0,2,0.0166260103167,1.0105107702,0.0831943960594,0.105304194373
15,100,0,3,0.0139488432381,1.36008866335,0.136097043386,0.0753862101025
15,100,0,4,0.0157444308372,1.42821849175,0.190920772547,0.113643782651
15,100,0,5,0.015880968822,1.3159737998,0.23461782605,0.14434981004
15,100,0,6,0.0173270790066,1.48581419627,0.265633547252,0.170425015111
15,100,0,7,0.0158125786528,1.45147557253,0.324992403666,0.202930059096
15,100,0,8,0.0143242618509,1.27091080771,0.361009958505,0.241064814038
15,100,0,9,0.0170581391191,1.48364997495,0.400654211988,0.260014725689
15,100,0,10,0.0157444308372,1.0394790445,0.449678260779,0.321259425205
15,100,0,11,0.0154742291481,1.5541424486,0.47439638615,0.352893627486
15,100,0,12,0.0172288469659,1.13630662041,0.542667434497,0.39333787116
15,100,0,13,0.0167689770446,1.35603614118,0.591551139321,0.441307771127
15,100,0,14,0.0156539411218,1.40523931714,0.617810288473,0.47691244122
15,100,0,15,0.0172533579747,1.39075788829,0.678747495291,0.52141384403
15,100,0,16,0.0160876108434,1.32591141383,0.714067570837,0.568316209262
15,100,0,17,0.0153405387701,1.38253148549,0.747356992702,0.609059038671
15,100,0,18,0.0149667198842,1.44510478735,0.801165508552,0.67062095641
15,100,0,19,0.0154966015163,1.39901963266,0.823349592323,0.723102565503
15,100,0,20,0.0168648821057,1.39075788829,0.873590378321,0.785099720484
15,100,0,21,0.0159725357014,1.36821941779,0.920827761832,0.853351528959
15,100,0,22,0.0167450753253,1.53183471206,0.951761571322,0.91253287105
15,100,0,23,0.0162266161748,1.39901963266,0.994172302108,0.990311211688
50,100,0,0,0.0143875503769,0.00801668629273,-3.78452263225e-4,NA
50,100,0,1,0.0142401998475,1.4600029166,0.0473674563043,0.953875509366
50,100,0,2,0.0166260103167,1.38869798615,0.0831943960594,0.91574767688
50,100,0,3,0.0139488432381,1.08640362069,0.136097043386,0.687317506452
50,100,0,4,0.0157444308372,1.36211813141,0.190920772547,0.192022035303
50,100,0,5,0.015880968822,1.50759143247,0.23461782605,0.163324684973
50,100,0,6,0.0173270790066,1.33590064795,0.265633547252,0.171356030271
50,100,0,7,0.0158125786528,1.4408692922,0.324992403666,0.216621558057
50,100,0,8,0.0143242618509,1.31399242455,0.361009958505,0.234953412895
50,100,0,9,0.0170581391191,1.38048037154,0.400654211988,0.24918592955
50,100,0,10,0.0157444308372,1.50978278127,0.449678260779,0.312169802057
50,100,0,11,0.0154742291481,1.34997332544,0.47439638615,0.337597140158
50,100,0,12,0.0172288469659,1.49449552016,0.542667434497,0.399906187449
50,100,0,13,0.0167689770446,1.3866402881,0.591551139321,0.43210608688
50,100,0,14,0.0156539411218,1.27867238298,0.617810288473,0.470436930111
50,100,0,15,0.0172533579747,1.44722603825,0.678747495291,0.513866093868
50,100,0,16,0.0160876108434,1.34191918995,0.714067570837,0.559293172721
50,100,0,17,0.0153405387701,1.4600029166,0.747356992702,0.61383021003
50,100,0,18,0.0149667198842,1.47501736377,0.801165508552,0.663925075785
50,100,0,19,0.0154966015163,1.31994268516,0.823349592323,0.729547218414
50,100,0,20,0.0168648821057,1.29821448814,0.873590378321,0.797754944342
50,100,0,21,0.0159725357014,1.36414974348,0.920827761832,0.82956198072
50,100,0,22,0.0167450753253,1.39281999927,0.951761571322,0.918898133475
50,100,0,23,0.0162266161748,1.66260103167,0.994172302108,0.986329252522
100,100,0,0,0.0143875503769,0.00801668629273,-3.78452263225e-4,NA
100,100,0,1,0.0142401998475,1.39488432381,0.0473674563043,0.979829222032
100,100,0,2,0.0166260103167,1.28841861256,0.0831943960594,0.973490301153
100,100,0,3,0.0139488432381,1.2689752987,0.136097043386,0.971100989726
100,100,0,4,0.0157444308372,1.27672905039,0.190920772547,0.939308449083
100,100,0,5,0.015880968822,1.27478767961,0.23461782605,0.902947263507
100,100,0,6,0.0173270790066,1.3159737998,0.265633547252,0.829494515269
100,100,0,7,0.0158125786528,1.36211813141,0.324992403666,0.503579877066
100,100,0,8,0.0143242618509,1.37229772275,0.361009958505,0.391044539308
100,100,0,9,0.0170581391191,1.41356364547,0.400654211988,0.394589823872
100,100,0,10,0.0157444308372,1.4600029166,0.449678260779,0.44884334096
100,100,0,11,0.0154742291481,1.60414981218,0.47439638615,0.468328808518
100,100,0,12,0.0172288469659,1.51637184987,0.542667434497,0.419795882411
100,100,0,13,0.0167689770446,1.40523931714,0.591551139321,0.465626922579
100,100,0,14,0.0156539411218,1.41773936116,0.617810288473,0.514362273087
100,100,0,15,0.0172533579747,1.2864654111,0.678747495291,0.542284603502
100,100,0,16,0.0160876108434,1.23446517016,0.714067570837,0.582169614637
100,100,0,17,0.0153405387701,1.41773936116,0.747356992702,0.623547884116
100,100,0,18,0.0149667198842,1.29821448814,0.801165508552,0.669976321335
100,100,0,19,0.0154966015163,1.27091080771,0.823349592323,0.728305556174
100,100,0,20,0.0168648821057,1.36008866335,0.873590378321,0.787985251777
100,100,0,21,0.0159725357014,1.37638469502,0.920827761832,0.834355157662
100,100,0,22,0.0167450753253,1.44722603825,0.951761571322,0.914521822439
